zipCode,zone,trange,zonetitle,lastSpringFrost,firstFallFrost
50395,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50396,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50398,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50401,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50402,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50420,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50421,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50423,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50424,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50426,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50427,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50428,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50430,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50431,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50432,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50433,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50434,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50435,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50436,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50438,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50439,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50440,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50441,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50444,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50446,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50447,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50448,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50449,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50450,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50451,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50452,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50453,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50454,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50455,4b,-25 to -20,4b: -25 to -20,2000-04-05,2000-10-02
50456,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
